Ticker,Recent,1M,3M,6M,12M
PCAR,98.0,85.87,84.89,85.99,76.11
PEAK,30.94,29.86,26.58,27.9,36.66
PEG,58.27,57.36,58.68,52.59,60.1
PEP,133.87,147.31,134.17,137.93,141.73
PFE,34.72,36.74,33.6338,37.2486,35.6546
PFG,54.13,48.78,38.25,43.88,54.48
PG,127.62,137.77,137.66,128.31,125.06
PGR,86.27,97.41,91.57,88.92,80.81
PH,276.24,270.22,203.23,183.54,199.02
PHM,48.48,44.09,41.94,44.7,46.01
PKG,133.18,137.47,111.93,101.97,104.94
PKI,150.57,140.58,124.4,119.64,98.5
PLD,107.67,98.82,97.51,106.17,96.5
PM,86.12,81.48,70.04,78.39,83.96
PNC,162.27,146.89,108.72,108.95,148.59
PNR,53.63,52.68,49.04,43.68,43.72
PNW,76.19,79.11,82.77,82.09,98.05
POOL,337.84,367.28,362.85,313.95,225.52
PPG,138.55,143.22,125.21,110.41,123.42
PPL,28.01,27.59,27.3,26.21,36.74
PRGO,44.98,44.48,42.58,56.69,58.64
PRU,80.86,77.45,61.67,65.48,91.91
PSA,231.86,228.93,231.12,196.84,222.08
PSX,77.23,70.6,44.22,65.58,95.8
PVH,96.15,95.52,58.51,52.16,89.91
PWR,77.87,71.15,60.88,41.15,40.17
PXD,132.29,114.57,80.33,98.54,138.92
PYPL,298.37,231.51,192.31,184.6,116.66
QCOM,147.98,149.95,121.58,93.03,88.23
QRVO,176.0,167.37,124.96,115.28,112.57
RCL,67.63,73.75,53.12,51.0,121.64
RE,243.54,230.36,196.2,219.94,274.62
REG,52.62,45.59,35.36,42.11,62.97
REGN,485.62,478.3,567.04,632.16,339.25
RF,19.56,15.93,12.73,11.04,15.4
RHI,73.78,62.1,48.82,51.95,61.05
RJF,114.13,94.23,75.21,71.51,90.44
RMD,200.55,209.72,180.66,204.1,165.84
ROK,249.18,249.1,234.01,220.97,196.17
ROL,37.59,38.25,40.9067,34.1667,25.2
ROP,396.02,421.82,367.5,437.16,378.46
ROST,119.09,122.49,85.28,88.43,114.27
RSG,91.26,95.71,86.71,86.87,94.47
RTX,72.61,71.36,52.34,59.4,96.1737
SBAC,263.94,274.56,295.42,317.57,249.34
SBUX,105.3,105.97,87.17,77.42,86.72
SCHW,58.19,52.41,38.15,34.08,45.95
SEE,44.09,45.89,40.9,36.61,36.92
SHW,721.05,727.13,678.66,647.63,590.26
SIVB,506.5,383.55,278.54,228.78,246.02
SJM,115.1,114.72,111.24,110.49,105.18
SLB,26.77,21.88,14.18,19.43,33.73
SLG,64.99,59.7734,43.2647,50.1648,95.7981
SNA,189.95,170.95,154.68,146.02,164.93
SNPS,292.09,256.91,217.82,198.42,150.44
SO,60.1,60.61,58.36,55.39,70.1
SPG,109.26,83.97,60.76,65.59,140.03
SPGI,339.45,323.63,326.7,359.86,297.31
SRE,124.5,125.82,126.1,125.01,158.68
STE,183.0,186.29,178.62,161.73,151.52
STT,73.5,72.42,58.48,64.39,76.23
STX,72.21,60.6,47.74,44.31,59.01
STZ,241.27,218.21,165.01,181.61,192.58
SWK,175.57,178.3,162.55,156.08,162.75
SWKS,189.5,152.75,139.79,136.45,117.89
SYF,37.15,34.29,25.17,23.78,32.64
SYK,248.15,242.06,204.95,201.41,210.68
SYY,76.24,73.29,54.79,53.99,81.89
TDG,576.49,616.14,458.14,433.37,654.18
TDY,387.91,391.1,306.95,303.56,376.17
TEL,129.77,119.76,96.87,89.89,98.07
TER,142.41,120.29,85.54,88.77,70.03
TFC,54.01,47.37,41.12,38.34,53.86
TFX,406.19,407.56,335.03,400.99,379.38
TGT,191.43,173.88,155.21,123.68,114.27
TJX,68.0,68.3,51.35,52.6,61.09
TMO,507.83,461.73,476.71,409.26,333.89
TMUS,123.68,133.28,109.8,105.78,80.26
TPR,38.31,31.45,21.31,13.87,26.76
TRMB,73.97,66.33,47.88,45.57,43.42
TROW,163.19,149.58,137.14,135.82,136.12
TRV,145.96,139.08,121.5,116.85,133.27
TSCO,159.93,142.76,132.56,145.46,95.02
TSLA,816.12,694.78,406.02,299.822,116.198
TSN,65.56,63.59,56.76,62.0,84.41
TTWO,199.86,206.35,164.39,157.82,125.91
TWTR,71.9,54.33,48.53,37.16,33.63
TXN,179.64,162.7,143.0,131.64,125.49
TXT,50.89,48.44,32.09,34.27,47.1
TYL,474.79,428.93,386.31,350.77,316.23
UA,18.84,15.08,11.66,10.33,18.68
UAA,22.37,17.45,13.31,11.61,21.0
UAL,43.94,44.65,32.6,32.57,75.21
UDR,42.71,37.97,29.6,35.25,47.88
UHS,129.28,136.13,106.37,113.12,143.9
ULTA,319.88,282.98,201.43,203.02,273.98
UNH,328.24,344.99,308.0,306.68,282.9
UNM,24.74,22.44,16.57,18.19,27.54
UNP,213.16,205.98,173.37,177.98,181.78
UPS,163.39,166.23,155.78,123.68,115.76
URI,286.22,230.06,170.73,163.42,152.26
USB,47.64,46.15,37.3,37.71,53.6
VAR,176.12,174.73,172.41,136.55,147.34
VFC,79.51,86.15,68.39,61.91,84.06
VIAC,58.31,36.9,27.8,25.29,34.69
VLO,64.74,56.72,36.19,59.69,86.46
VMC,164.5,146.47,137.48,121.08,139.34
